Timestep, State, Action, Reward
0, [0.013192463, 1.424509, 0.45667657, 0.2170732, -0.02069041, -0.17698136, 0.0, 0.0], [73.58037  74.162315], -3.5869642247030966
1, [0.017917443, 1.4297296, 0.48314017, 0.23184238, -0.031220905, -0.21062955, 0.0, 0.0], [73.403534 74.225555], -4.934717210575558
2, [0.022889901, 1.4355419, 0.50961494, 0.2580168, -0.04345794, -0.24476337, 0.0, 0.0], [73.33337  74.233986], -5.674143658417238
3, [0.027874565, 1.4419231, 0.51301515, 0.28312862, -0.057860237, -0.28807276, 0.0, 0.0], [73.339836 74.22621 ], -3.8918806034613893
4, [0.033083342, 1.4491119, 0.53724635, 0.31879106, -0.07406995, -0.3242244, 0.0, 0.0], [73.30569  74.265434], -6.5558155915785665
5, [0.03847065, 1.457217, 0.55701965, 0.3592149, -0.092211835, -0.36287138, 0.0, 0.0], [73.28649  74.200066], -6.776981093931726
6, [0.044020176, 1.4653515, 0.57511914, 0.36016145, -0.11225755, -0.40095106, 0.0, 0.0], [73.33889  74.225876], -4.741716943344231
7, [0.049752902, 1.474009, 0.5953486, 0.38296226, -0.13425109, -0.43991166, 0.0, 0.0], [73.32867 74.03457], -6.342822275621915
8, [0.055564117, 1.4832404, 0.60532, 0.40792295, -0.15842268, -0.4834767, 0.0, 0.0], [73.279205 73.979836], -5.8960423015248455
9, [0.061538696, 1.4930004, 0.62360954, 0.43076918, -0.18464886, -0.524572, 0.0, 0.0], [73.260284 73.83227 ], -6.749819023650433
10, [0.067726135, 1.502869, 0.64666915, 0.43488133, -0.21279675, -0.5630097, 0.0, 0.0], [73.21027 73.81224], -6.294499248921101
11, [0.07393408, 1.5130289, 0.65083396, 0.4469239, -0.24327697, -0.6096603, 0.0, 0.0], [73.23945 73.73328], -5.443359213501411
12, [0.08044481, 1.5237935, 0.6828055, 0.47284427, -0.27572244, -0.64896905, 0.0, 0.0], [73.3675   73.791214], -8.78619002061062
13, [0.08735371, 1.5351354, 0.7241252, 0.49744198, -0.3100213, -0.68603987, 0.0, 0.0], [73.478195 73.86532 ], -9.728196052786034
14, [0.09467449, 1.546629, 0.766621, 0.5030337, -0.3460735, -0.72111017, 0.0, 0.0], [73.47237 73.84693], -8.965717918815601
15, [0.1022193, 1.5586512, 0.7907045, 0.5251409, -0.3843701, -0.7660018, 0.0, 0.0], [73.55564 73.80172], -8.63507335266475
