Cumulative Rewards, Average Rewards, No Timesteps
-2027.8289513475895, -14.801671177719632, 137
-1587.049762979091, -14.044688167956556, 113
-753.3667509652678, -13.697577290277597, 55
-826.7374757942475, -9.842112807074376, 84
-811.3097220478409, -12.292571546179406, 66
-1462.9919174838583, -13.180107364719444, 111
-744.205326813775, -13.056233803750438, 57
-1038.635306555606, -11.802673938131885, 88
-1197.903039359569, -13.163769663291967, 91
-1790.7959085730492, -14.559316329862188, 123
-1610.7473080279524, -14.129362351122388, 114
-1879.1121392427733, -14.79615857671475, 127
-765.0610314252242, -13.190707438365935, 58
-795.3950007411348, -13.25658334568558, 60
-886.4658826156792, -11.979268683995665, 74
-837.0702476304466, -12.493585785529055, 67
-1338.0902026448978, -13.516062652978766, 99
-777.5057630010648, -11.961627123093304, 65
-2228.346554129707, -15.367907269860048, 145
-1027.3479378895988, -12.086446328112928, 85
-745.299709718644, -12.849994995149034, 58
-843.3748681904256, -12.40257159103567, 68
-1012.9845597829848, -12.505982219543021, 81
-904.5829203132087, -11.747830133937775, 77
-1496.8406321944783, -12.793509676875884, 117
-802.910563663642, -11.983739756173762, 67
-779.6518872403603, -13.442273917937246, 58
-801.6689333210649, -12.930144085823626, 62
-1075.2325700501049, -11.815742528023131, 91
-819.36986549435, -9.992315432857927, 82
-1027.3359846320695, -11.166695485131191, 92
-1904.860990483909, -15.117944368919913, 126
-802.8019024340607, -12.948417781194527, 62
-794.4557343193088, -12.61040848125887, 63
-957.2029754748028, -12.431207473698738, 77
-916.8554369171983, -10.075334471617564, 91
-969.1134381915425, -12.113917977394282, 80
-844.5450454064915, -12.60514993144017, 67
-1405.6940698214837, -13.015685831680404, 108
-787.4615962848669, -13.124359938081115, 60
-1392.5056968970189, -14.065714110070898, 99
-936.4898466618264, -11.70612308327283, 80
-932.2237776428354, -11.951586892856865, 78
-1727.106635408085, -14.273608557091611, 121
-833.4770931125963, -12.822724509424559, 65
-732.7576591860995, -12.633752744587923, 58
-737.2528098427924, -12.08611163676709, 61
-1010.5376117947878, -11.228195686608753, 90
-968.2558984668078, -12.256403778060859, 79
-1150.1677935384835, -12.501823842809603, 92
-1087.6049802592484, -12.359147502946003, 88
-910.0583745678265, -10.225374995144119, 89
-2341.02567378655, -16.03442242319555, 146
-1322.5546394040534, -13.634583911381995, 97
-842.2484593527372, -11.537650128119688, 73
-940.3660728572273, -10.448511920635859, 90
-749.5405287508211, -12.089363366948726, 62
-1034.3920506440945, -11.243391854827115, 92
-1057.9853372422435, -11.02068059627337, 96
-904.3241464256404, -12.38800200583069, 73
-915.8059895571815, -12.050078809962915, 76
-892.7402376225473, -12.229318323596537, 73
-1503.115119021675, -13.790046963501604, 109
-2315.5216956706, -15.859737641579452, 146
-791.4959448085378, -11.63964624718438, 68
-757.469260233043, -9.12613566545835, 83
-1185.852616694878, -13.324186704436832, 89
-862.0350128309141, -12.314785897584487, 70
-1908.8757571878616, -14.797486489828385, 129
-2079.6141746934863, -14.854386962096331, 140
-1152.4342747175783, -12.526459507799764, 92
-1207.8253911693794, -13.272806496366806, 91
-894.8165270381133, -10.285247437219693, 87
-900.3042499829644, -12.332934931273485, 73
-1303.4125874496126, -13.437243169583635, 97
-1283.2192195382847, -13.507570731981945, 95
-1401.0371402314222, -13.471510963763675, 104
-698.8562508622344, -12.479575908254187, 56
-1257.6033220308736, -10.308223951072735, 122
-786.0648323719079, -12.886308727408325, 61
-1298.9237852373594, -13.530456096222494, 96
-1727.986606648713, -14.048671598770024, 123
-881.4475484331658, -12.242327061571748, 72
-1120.3340613323544, -13.027140248050632, 86
-733.8023152564652, -12.437327377228225, 59
-1008.7993755057915, -11.085707423140567, 91
-827.8829211635664, -12.736660325593329, 65
-1567.8008530707016, -13.174797084627745, 119
-1147.861629592612, -10.82888329804351, 106
-914.2900929935672, -10.509081528661692, 87
-734.2021478877804, -12.880739436627726, 57
-1999.6087711655048, -15.03465241477823, 133
-1546.329612372616, -13.446344455414053, 115
-1708.2267677760437, -14.117576593190444, 121
-782.029313890339, -13.483264032592052, 58
-727.3828971410236, -12.76110345861445, 57
-1114.4910382968842, -12.810241819504416, 87
-994.4727583849788, -7.312299694007197, 136
-1598.0634226788936, -13.89620367546864, 115
-1081.3194195048654, -12.42895884488351, 87
-1258.9898788128396, -13.393509349072762, 94
-833.2056292185471, -12.435904913709658, 67
-1152.1532826453085, -13.092650939151234, 88
-1722.003632884534, -14.47061876373558, 119
-758.0394697286753, -13.069646029804746, 58
-785.4355092058796, -13.090591820097993, 60
-748.2635246628088, -14.118179710619033, 53
-694.571079870019, -12.403054997678911, 56
-1232.6871348098362, -12.578440151120777, 98
-1030.737275252503, -11.581317699466325, 89
-912.0759445230377, -12.161012593640503, 75
-781.9025471592263, -9.653117866163287, 81
-744.724720206877, -12.412078670114617, 60
-761.1226766183272, -12.276172203521407, 62
-987.84610376278, -12.046903704424146, 82
-921.5951864425517, -11.815322903109637, 78
-1017.7028198395673, -12.26147975710322, 83
-916.2619330947831, -12.05607806703662, 76
-1199.9418169466257, -11.008640522446107, 109
-1507.6686343948152, -13.225163459603642, 114
-977.0009451770748, -12.212511814713434, 80
-1463.5075111378187, -13.93816677274113, 105
-1070.1463843078855, -12.589957462445712, 85
-880.7338432186252, -12.232414489147573, 72
-1149.1440025575866, -11.049461563053718, 104
-756.024218976242, -13.263582789056876, 57
-991.6022476613456, -12.092710337333482, 82
-791.3128680639951, -13.188547801066585, 60
-964.9296119081129, -10.60362210888036, 91
-936.8627239431795, -11.153127665990231, 84
-983.0132813959316, -12.13596643698681, 81
-766.8500388773011, -12.17222283932224, 63
-814.4761993837303, -9.2554113566333, 88
-743.9586604542662, -12.82687345610804, 58
-763.8831390360538, -12.731385650600895, 60
-1985.9289670930777, -15.159763107580746, 131
-1761.4019524642863, -14.437720921838412, 122
-1281.321571704118, -13.34709970525123, 96
-1286.8540048511265, -13.266536132485841, 97
-864.941556137117, -12.013077168571069, 72
-773.6003939356838, -13.337937826477306, 58
-780.0493780781726, -10.263807606291744, 76
-819.1823099814634, -10.638731298460563, 77
-726.4410494058784, -12.744579814138218, 57
-704.0960605578771, -12.352562465927669, 57
-1360.7838322523344, -13.88554930869729, 98
-1363.0618823257946, -13.630618823257945, 100
-776.5485460968547, -12.94247576828091, 60
-1468.519810180406, -12.881752720880755, 114
-1056.1645869440736, -12.573387939810399, 84
-1319.8316737537546, -13.60651210055417, 97
-1843.1319173893285, -14.86396707572039, 124
-848.2613344421108, -12.293642528146533, 69
-810.6650973072507, -12.867699957257948, 63
-765.2517827220094, -12.970369198678124, 59
-764.1683606455132, -13.175316562853675, 58
-1146.4666282128824, -12.881647508009914, 89
-1432.7091948280884, -13.77604995027008, 104
-707.8301009570382, -12.639823231375683, 56
-916.3702996290182, -11.599624045936938, 79
-762.7522979427251, -12.302456418431051, 62
-1812.726890993017, -14.737616999943228, 123
-1793.2551018748395, -14.009805483397184, 128
-791.8882237077274, -12.569654344567102, 63
-1171.4679484092483, -13.162561218081441, 89
-782.0357811824866, -12.61348034165301, 62
-1879.0495743328715, -14.79566593962891, 127
-1054.0329684599114, -12.69919239108327, 83
-747.2023468759119, -13.58549721592567, 55
-816.9070737896735, -9.842253901080404, 83
-1086.1388985471526, -12.068209983857251, 90
-1149.7758015663012, -12.918829231082036, 89
-1009.7268031947107, -11.879138861114242, 85
-2008.5939880060737, -15.102210436135893, 133
-883.8808126953783, -11.331805290966388, 78
-795.6875824603673, -12.055872461520716, 66
-1383.818240504933, -12.466830995539938, 111
-705.9249384387217, -12.171119628253823, 58
-712.5653380253692, -12.724381036167307, 56
-1276.1671494787415, -13.576246271050442, 94
-764.6919729863808, -13.655213803328229, 56
-814.3187805017637, -9.468823029090276, 86
-722.4448218280213, -12.900800389786095, 56
-771.2203167907005, -13.53018099632808, 57
-989.2560007054857, -12.064097569579094, 82
-863.642423287985, -11.21613536737643, 77
-998.7481040118699, -10.97525389024033, 91
-745.0949688307998, -12.846464979841375, 58
-814.2407634567309, -12.152847215772102, 67
-905.3361122705059, -10.059290136338953, 90
-792.1535225379656, -13.657819354102855, 58
-804.0093828049711, -10.864991659526636, 74
-929.0768307115053, -12.22469514094086, 76
-1240.1379894036609, -13.479760754387618, 92
-905.487658709837, -11.178859984072062, 81
-801.0472082945375, -10.269836003776122, 78
-1333.4754125588518, -13.747169201637647, 97
-1378.7495188743633, -13.787495188743632, 100
-1270.586471624011, -13.374594438147485, 95
-1012.2109648262183, -11.502397327570662, 88
-947.8132346647229, -12.151451726470807, 78
-1983.6780267504914, -14.803567363809638, 134
-832.8245449513017, -12.247419778695614, 68
-1151.4632570964473, -12.120665864173128, 95
-1155.595122026439, -11.791786959453459, 98
-804.218247303089, -12.971262053275629, 62
-932.4125924091596, -12.268586742225784, 76
-917.0954549722405, -12.06704546016106, 76
-859.4894836462555, -11.937353939531327, 72
-1030.300715110745, -12.564642867204206, 82
-1084.0402047079208, -12.753414173034363, 85
-1290.3387152125083, -12.407103030889504, 104
-1065.888129226923, -11.58574053507525, 92
-732.6238711266396, -13.320434020484358, 55
-1114.30785120911, -11.981804851710859, 93
-1238.9962372117252, -13.322540185072315, 93
-1025.3620648874771, -12.206691248660443, 84
-1097.5409328228834, -12.194899253587593, 90
-1098.6895954793806, -11.813866618057856, 93
-726.4012582789245, -13.451875153313416, 54
-1051.5629307977085, -8.088945621520836, 130
-1260.5404459630731, -12.23825675692304, 103
-1505.3289249071547, -13.561521846010402, 111
-873.3746627587984, -11.055375477959474, 79
-1174.4027796560017, -13.195536850067436, 89
-786.0963121270375, -12.477719240111707, 63
-785.199473828052, -12.872122521771344, 61
-1216.6991975922238, -13.082787070884127, 93
-1592.287411761424, -13.380566485390117, 119
-1141.7226149111832, -12.276587257109497, 93
-1708.3853174521528, -13.77730094719478, 124
-695.2172712348739, -12.640314022452253, 55
-1061.6966285274775, -12.639245577708065, 84
-1037.0916410464206, -11.396611440070556, 91
-1503.6065485564386, -13.794555491343473, 109
-1043.4514029741222, -11.466498933781562, 91
-1166.2455147800238, -12.540274352473373, 93
-971.0575417385413, -10.910758895938667, 89
-1178.6143093679598, -13.095714548532886, 90
-1119.6178966249986, -13.018812751453472, 86
