Cumulative Rewards, Average Rewards, No Timesteps
-2192.706368908064, -14.716150126899759, 149
-1037.531434528592, -12.809030055908542, 81
-747.219498340672, -9.704149329099636, 77
-1841.5995504151083, -14.275965507093863, 129
-1234.3802384494397, -12.85812748384833, 96
-1559.8711497319161, -13.447165083895829, 116
-754.6748447769444, -13.011635254774903, 58
-831.9026642248165, -12.60458582158813, 66
-771.4347301401473, -13.30059879551978, 58
-725.8033312905494, -12.733391777027183, 57
-727.4987515696579, -12.991049135172462, 56
-1816.438613526961, -14.080919484705124, 129
-838.9169591675482, -12.33701410540512, 68
-748.2365604414343, -12.681975600702277, 59
-759.6639388661334, -12.453507194526777, 61
-799.2183532337514, -12.686005606884942, 63
-823.0052840669977, -12.283660956223846, 67
-786.1673591916439, -12.478846971295935, 63
-1094.4373925954947, -12.87573403053523, 85
-1493.9745617027754, -13.706188639475004, 109
-805.0155116023421, -12.197204721247608, 66
-912.9727792391474, -12.172970389855298, 75
-720.544557017631, -12.641132579256684, 57
-867.7318970995198, -10.208610554111997, 85
-972.5793005568385, -12.15724125696048, 80
-733.7650510598668, -13.102947340354763, 56
-1573.040968598633, -13.44479460340712, 117
-875.054186775035, -11.825056578041012, 74
-1212.2520167964162, -13.321450734026552, 91
-1118.8087544983462, -11.654257859357772, 96
-1333.3889833365788, -13.746278178727616, 97
-739.0971484475156, -13.198163365134207, 56
-1845.8838418075798, -13.775252550802835, 134
-1092.5623304934916, -12.85367447639402, 85
-972.3112363117929, -12.15389045389741, 80
-2054.3091392679194, -14.994957220933719, 137
-916.227287027361, -12.381449824694068, 74
-1020.1445329010793, -12.290897986759992, 83
-1528.1282823289168, -13.523259135654131, 113
-1262.0885180817916, -11.473531982561742, 110
-758.350926950828, -13.788198671833237, 55
-1120.8454483993141, -12.883281016084071, 87
-1390.53637895034, -13.37054210529173, 104
-1274.1973855213193, -13.002014137972646, 98
-1266.1799006115073, -13.32820948012113, 95
-1494.4772608844642, -13.83775241559689, 108
-1371.4850535087276, -13.714850535087276, 100
-1035.1782968435618, -12.178568198159551, 85
-805.0277075962503, -12.77821758089286, 63
-1397.5844224007278, -12.705312930915708, 110
-1622.8836878074032, -13.524030731728361, 120
-716.7593134951295, -13.031987518093263, 55
-968.8845518866638, -12.264361416286883, 79
-1232.5380703471233, -13.253097530614228, 93
-1887.0425345522988, -14.628236701955805, 129
-1233.3080674660318, -12.714516159443628, 97
-1048.150725955726, -12.331185011243836, 85
-902.8001154663772, -12.367124869402428, 73
-2141.3946638195303, -15.080244111405143, 142
-736.779277923881, -12.703090998687603, 58
-830.7088399769257, -12.216306470248908, 68
-1313.8830369350421, -13.008742939950912, 101
-2427.56879293371, -16.076614522739803, 151
-1342.0963531923042, -13.556528820124285, 99
-764.8270126541687, -13.90594568462125, 55
-1666.010129657156, -14.000085123169379, 119
-955.7340864082993, -10.388413982698905, 92
-1259.8455475998678, -12.598455475998678, 100
-1079.7776844758791, -12.555554470649758, 86
-764.349605416038, -13.409642200281368, 57
-782.1002342989143, -13.035003904981904, 60
-779.9529102373882, -13.219540851481156, 59
-1138.911301268017, -11.504154558262798, 99
-986.0578311895549, -11.60068036693594, 85
-985.8347674112133, -11.46319496989783, 86
-1359.4797382707857, -12.587775354359126, 108
-738.6732707876936, -13.430423105230792, 55
-703.8576081846252, -12.568885860439735, 56
-822.5227882861159, -11.5848280040298, 71
-1268.4860185498892, -13.639634608063325, 93
-1369.0141633897829, -13.16359772490176, 104
-762.1459482930352, -13.609749076661343, 56
-1588.8062838379424, -13.936897226648618, 114
-747.6828636209234, -12.67259090882921, 59
-746.1489073829428, -13.324087631838264, 56
-1207.8580428959942, -13.128891770608632, 92
-976.5976696555972, -12.361995818425282, 79
-1432.93724072549, -13.267937414124908, 108
-1074.877164590113, -12.07727151224846, 89
-764.0317087959646, -12.323092077354268, 62
-1276.9328022312193, -13.44139791822336, 95
-1058.2268562485983, -12.597938764864265, 84
-760.9021547147137, -12.896646690079892, 59
-975.0663524279719, -11.20765922331002, 87
-724.0087442436038, -12.92872757577864, 56
