Cumulative Rewards, Average Rewards, No Timesteps
-1140.055639119977, -11.875579574166428, 96
-1122.8002596943843, -11.457145507085555, 98
-1407.047502590155, -13.529302909520721, 104
-1202.0746962550922, -13.066029307120568, 92
-771.0759687726845, -12.851266146211408, 60
-905.6121166275375, -12.0748282217005, 75
-1151.4831126824354, -11.994615757108702, 96
-1418.7427097148425, -12.66734562245395, 112
-727.7362010709743, -12.995289304838826, 56
-705.2270131455709, -12.822309329919472, 55
-918.1697362824563, -12.24226315043275, 75
-1199.4006105172994, -13.180226489201091, 91
-788.6423408239511, -12.132959089599249, 65
-1457.0107256868507, -13.616922669970567, 107
-1089.943965297687, -12.385726878382808, 88
-906.4850900664193, -12.417603973512593, 73
-737.8680125517358, -12.297800209195596, 60
-835.5768995142128, -12.471297007674817, 67
-804.586059145924, -12.190697865847334, 66
-986.6134619828579, -12.332668274785723, 80
-1122.8787476613552, -12.205203778927773, 92
-1586.3463133400464, -14.038462949911915, 113
-1190.6583863457247, -11.788696894512126, 101
-1118.0544753907784, -11.646400785320608, 96
-937.6055042540072, -12.020583387871888, 78
-748.2616563043623, -13.856697338969672, 54
-825.3789463164478, -12.319088750991758, 67
-1465.4015410994423, -12.854399483328441, 114
-1006.4461740852215, -10.483814313387724, 96
-1406.1203485195965, -13.921983648708876, 101
-2352.7517045046525, -16.005113636086072, 147
-975.1647548967513, -12.189559436209391, 80
-1586.874325747601, -13.798907180413922, 115
-902.8221611489953, -12.200299474986423, 74
-1120.5956390362949, -12.73404135268517, 88
-704.4442552816365, -13.291401043049746, 53
-837.9974726464515, -11.971392466377878, 70
-1898.6330672919435, -14.949866671590106, 127
-826.291501515001, -12.71217694638463, 65
-1709.463417292813, -14.486978112650958, 118
-1420.508011013977, -13.791339912757058, 103
-1888.8196125966176, -14.990631846004902, 126
-845.1857508014674, -11.904024659175597, 71
-778.788524095097, -11.98136190915534, 65
-1077.7140946443155, -12.53155924005018, 86
-1262.0672023846118, -13.570615079404428, 93
-735.9071892958236, -13.141199808853994, 56
-1734.8547046214092, -14.337642186953795, 121
-956.2945362034436, -12.104994129157514, 79
-809.4146825343187, -12.263858826277556, 66
-1849.8581644674741, -14.798865315739793, 125
-1270.1772910889435, -13.231013448843163, 96
-829.2287713756889, -12.757365713472137, 65
-1262.07670589057, -12.253171901850195, 103
-973.5515982491544, -12.019155533940177, 81
-737.0255889583487, -13.648622017747199, 54
-2176.367332657427, -15.435229309627143, 141
-786.7138171927829, -12.688932535367467, 62
-916.2514914606143, -10.654087110007142, 86
-1361.5686910214151, -13.615686910214151, 100
-784.1986377341244, -13.06997729556874, 60
-1214.6467606223655, -12.39435470022822, 98
-952.298045809215, -12.208949305246346, 78
-1600.6356471723184, -13.564708874341681, 118
-948.0872898548374, -12.154965254549198, 78
-1178.0137224235343, -13.089041360261492, 90
-768.5553573276216, -13.48342732153722, 57
-1041.9250835395478, -11.449726192742284, 91
-1726.492034273582, -14.387433618946517, 120
-817.7806684238633, -12.58124105267482, 65
-966.0907508374883, -11.365773539264568, 85
-836.9110661978128, -11.623764808302957, 72
-758.1586637252816, -12.850146842801383, 59
-1550.2426405635629, -13.966149914987053, 111
-1105.7996096888644, -11.283669486621065, 98
-1392.3887333657788, -13.650869934958616, 102
-857.5343381892584, -9.220799335368369, 93
-1078.6406584754855, -10.080753817527901, 107
-732.1547510229707, -13.558421315240198, 54
-728.7242920511775, -13.01293378662817, 56
-1558.6824702316217, -13.322072395142065, 117
-962.7473633712111, -11.599365823749531, 83
-1535.8216981046555, -13.015438119530979, 118
-1456.146506106879, -13.60884585146616, 107
-774.318735788532, -11.912595935208184, 65
-1577.01239631681, -14.207318885737028, 111
-1369.0723834519647, -13.690723834519646, 100
-2294.172375815804, -15.821878453902098, 145
-749.8638969830503, -12.292850770213938, 61
-985.3853973543859, -12.16525181918995, 81
-786.3981050582336, -11.91512280391263, 66
-783.7798118185838, -12.058150951055135, 65
-1426.625489255646, -13.850732905394622, 103
-791.4659895613289, -12.765580476795627, 62
-2093.1201319199854, -14.950858085142753, 140
-1529.8066835174563, -12.964463419639461, 118
-1368.1242929332225, -13.412983264051201, 102
-1693.0884162520783, -13.87777390370556, 122
-1106.3339343454404, -10.437112588164533, 106
-823.0538897392544, -10.418403667585498, 79
-1284.8512784678828, -11.89677109692484, 108
-1140.7407019881439, -12.962962522592544, 88
-1551.7114466993155, -13.611503918415048, 114
-871.5858102213685, -9.904384207061007, 88
