Cumulative Rewards, Average Rewards, No Timesteps
-918.732543604818, -10.682936553544396, 86
-1752.16463083593, -14.362005170786311, 122
-844.7464610749249, -11.897837479928521, 71
-743.814589452501, -13.282403383080375, 56
-796.0599818440161, -12.635872727682795, 63
-796.3284508243943, -13.054564767613021, 61
-749.2483879240948, -12.918075653863703, 58
-721.9097006528821, -12.235757638184442, 59
-1230.0942160761504, -12.551981796695411, 98
-1212.6578059745993, -11.54912196166285, 105
-741.7950178667078, -13.48718214303105, 55
-1426.9530531213607, -13.853913137100589, 103
-955.0767772492113, -11.938459715615142, 80
-1344.595896006154, -13.445958960061539, 100
-1165.2888047625574, -10.993290610967524, 106
-1367.6166759261225, -13.540759167585371, 101
-1507.134281650282, -13.701220742275291, 110
-1273.7924721767827, -12.737924721767827, 100
-829.8942461842141, -12.767603787449447, 65
-960.0334918975524, -11.70772551094576, 82
-998.2113040745535, -12.173308586275043, 82
-1088.7454033877552, -12.097171148752835, 90
-836.3771046235332, -12.483240367515421, 67
-1038.2071329099126, -10.928496135893816, 95
-822.4128385439868, -12.4608005839998, 66
-1156.5900008814065, -13.143068191834164, 88
-1173.3262858870896, -11.069115904595185, 106
-1181.0095951503652, -13.269770732026576, 89
-1114.781901321625, -12.962580247925871, 86
-851.411055566556, -12.33929066038487, 69
-1109.746127061689, -11.559855490225928, 96
-831.4340130076602, -11.877628757252287, 70
-896.8357159399361, -11.64721709012904, 77
-745.0450693994708, -13.304376239276264, 56
-741.015641276167, -12.559587140274017, 59
-830.1039470812385, -12.207410986488801, 68
-775.5211479848065, -13.371054275600113, 58
-1633.281638146961, -13.610680317891342, 120
-1990.8417710416365, -14.96873512061381, 133
-722.7931041190109, -12.461950071017428, 58
-1310.6309865000233, -13.511659654639415, 97
-1164.950995701451, -11.76718177476213, 99
-899.8839685818282, -10.343493891745151, 87
-1062.4451761376858, -12.49935501338454, 85
-1411.8549792166234, -13.707329895307023, 103
-1123.7175926689902, -11.125916759098912, 101
-747.2337427984291, -13.58606805088053, 55
-736.2306180736853, -12.693631346098021, 58
-1783.2280041764498, -14.152603207749602, 126
-817.0954533639632, -11.841963092231351, 69
-875.6028251845892, -12.161150349785961, 72
-911.5088031622054, -11.993536883713228, 76
-692.2452718242212, -12.361522711146806, 56
-1161.5675121213922, -12.90630569023769, 90
-1064.3487002170175, -10.234122117471323, 104
-1597.1286950423003, -13.42124953817059, 119
-1003.5097319671638, -10.790427225453374, 93
-829.2626984489524, -9.423439755101732, 88
-682.4789786423929, -9.890999690469462, 69
-1080.8740685719158, -12.42383986864271, 87
-755.6558208668725, -13.493853944051295, 56
-1453.9901326342863, -13.588692828357816, 107
-1323.1609793724851, -13.501642646658011, 98
-877.9388107066286, -12.193594593147619, 72
-928.5268870195379, -11.904190859224844, 78
-1047.2484972661186, -12.617451774290586, 83
-914.8477436351483, -10.51549130615113, 87
-1319.1459849897335, -12.328467149436761, 107
-799.3173559102502, -12.489333686097659, 64
-1429.903497725601, -13.489655638920764, 106
-765.8092182474138, -13.203607211162307, 58
-933.1273653809185, -11.811738802290108, 79
-2189.2382643666356, -15.52651251323855, 141
-777.7102404140196, -12.749348203508518, 61
-1009.9690609309965, -10.744351712031879, 94
-1306.6693136903286, -13.333360343778864, 98
-807.1749760575489, -12.81230120726268, 63
-1484.4479521701926, -14.137599544478025, 105
-984.0552385960206, -11.442502774372333, 86
-726.7590882514144, -13.45850163428545, 54
-1042.30387338397, -12.557877992577954, 83
-1359.1318557829686, -13.591318557829686, 100
-735.2860908011093, -13.61640908890943, 54
-778.9676557781811, -13.202841623359001, 59
-808.8458564940888, -12.638216507720138, 64
-1200.8935549664, -13.19663247215824, 91
-770.2789224573305, -12.627523318972631, 61
-703.2859302775372, -12.558677326384593, 56
-1562.5832743334176, -13.587680646377544, 115
-979.3915900674081, -10.645560761602262, 92
-845.1269610095547, -12.24821682622543, 69
-1460.9447385705475, -13.782497533684412, 106
-744.0499734085915, -14.03867874355833, 53
-762.567654843395, -12.104248489577698, 63
-849.067423845863, -13.062575751474816, 65
-1187.99285727788, -11.8799285727788, 100
-1905.8466297968228, -14.774004882145913, 129
-1853.2234096453385, -14.945350077784989, 124
-1300.9976984630302, -13.412347406835364, 97
-804.8709106509775, -12.981788881467379, 62
